Val,EpisodeID,SceneID,VehicleArrayID,VehicleName,x,y,z,rays,LOS
I,10,0,7,flow7.1,764.50818451955,426.4501196312,4.3,25,LOS=0
I,10,0,8,flow8.1,743.41628200905,426.86023825464997,4.3,25,LOS=0
I,10,0,9,flow8.2,727.1036505990501,435.69455841815,3.2,25,LOS=0
V,11,0,0,flow1.1,758.176003419,445.10030199175003,4.3,25,LOS=0
V,11,0,1,flow2.1,761.9962773088,437.88668428425,1.59,25,LOS=0
V,11,0,2,flow2.2,757.93328630685,495.94520443655,4.3,25,LOS=0
V,11,0,3,flow4.0,756.7881972170001,464.9434959326,4.3,25,LOS=0
V,11,0,4,flow4.1,753.4693824312,512.3967248871,4.3,25,LOS=1
V,11,0,5,flow4.2,750.8213548121,550.2588741775501,4.3,25,LOS=0
V,11,0,6,flow5.0,761.2419601858501,448.66557497375,4.3,25,LOS=0
V,11,0,7,flow5.1,759.53641880555,473.03708073215,4.3,25,LOS=0
I,11,0,8,flow7.0,732.8004427160499,676.96307856015,3.2,25,LOS=0
V,11,0,9,flow7.1,763.8237785599499,459.01520782125,4.3,25,LOS=0
I,12,0,0,flow1.1,757.74722391775,433.68615435289996,4.3,25,LOS=0
V,12,0,1,flow10.4,764.9230409279,490.5574429925,4.3,25,LOS=0
I,12,0,2,flow11.0,726.99871605165,677.0091125926999,1.59,25,LOS=0
V,12,0,3,flow11.1,750.69082503765,646.67987317745,1.59,25,LOS=0
V,12,0,4,flow11.2,757.89684819935,543.7086776349499,3.2,25,LOS=1
V,12,0,5,flow2.1,762.1105642693,436.25356922315,1.59,25,LOS=0
V,12,0,6,flow4.1,755.8802756901,477.9251809226,4.3,25,LOS=0
V,12,0,7,flow7.1,761.5379514055501,491.67876573705,4.3,25,LOS=0
V,12,0,8,flow8.0,755.2613570949,628.6132082343499,4.3,25,LOS=0
I,12,0,9,flow8.2,757.0482773658,420.8805514217,3.2,25,LOS=0
I,13,0,0,flow10.1,796.2779316501001,670.4364454296999,4.3,25,LOS=0
V,13,0,1,flow10.3,755.4742555061,625.5711036091,4.3,25,LOS=0
I,13,0,2,flow11.0,685.21426373995,677.3406530028001,1.59,25,LOS=0
V,13,0,3,flow11.2,755.20884862905,582.11911889475,3.2,25,LOS=0
V,13,0,4,flow2.2,759.72763712185,470.30464729455,4.3,25,LOS=0
V,13,0,5,flow4.2,755.80374114,479.0194907176,4.3,25,LOS=0
V,13,0,6,flow5.0,761.88847417885,439.4271479946,4.3,25,LOS=0
V,13,0,7,flow5.1,760.80815691015,454.86445068269995,4.3,25,LOS=0
V,13,0,8,flow8.0,753.9992440408,646.6475370856999,4.3,25,LOS=0
I,13,0,9,flow8.1,765.4142767966,483.53817544674996,4.3,25,LOS=0
I,14,0,0,flow10.2,778.3634345014,670.3676147919,4.3,25,LOS=0
V,14,0,1,flow11.2,752.52065608115,620.5323177275,3.2,25,LOS=0
I,14,0,2,flow2.0,787.9478969127,397.16044687149997,1.59,25,LOS=0
V,14,0,3,flow2.2,760.60874875915,457.71391358925,4.3,25,LOS=0
I,14,0,4,flow4.0,740.97045773225,435.6881219815,4.3,25,LOS=0
V,14,0,5,flow4.1,758.627108674,438.65028825785,4.3,25,LOS=0
V,14,0,6,flow5.1,761.7915040006501,440.8128131462,4.3,25,LOS=0
V,14,0,7,flow7.1,756.96511069845,557.02283472875,4.3,25,LOS=1
V,14,0,8,flow8.0,753.006988299,661.4783704918,4.3,25,LOS=0
V,14,0,9,flow8.1,763.0769309811001,516.9365013257,4.3,25,LOS=1
V,15,0,0,flow10.3,753.176545828,658.40306886445,4.3,25,LOS=0
V,15,0,1,flow10.4,757.3468095799,598.81418524095,4.3,25,LOS=0
I,15,0,2,flow11.1,682.38324561075,677.3631158295,1.59,25,LOS=0
V,15,0,3,flow11.2,750.35754565335,651.4423025890001,3.2,25,LOS=0
I,15,0,4,flow2.0,815.02975407535,376.12919489755,1.59,25,LOS=0
I,15,0,5,flow2.1,802.9781913994,385.4882078263,1.59,25,LOS=0
V,15,0,6,flow2.3,760.54666712055,458.60103543255,3.2,25,LOS=0
I,15,0,7,flow4.1,749.40424868905,431.1190798713,4.3,25,LOS=0
V,15,0,8,flow4.2,758.4466824134,441.23006724640004,4.3,25,LOS=0
V,15,0,9,flow7.1,754.67891894525,589.691602617,4.3,25,LOS=0
I,16,0,0,flow10.3,763.6182451515999,670.3109611902,4.3,25,LOS=0
I,16,0,1,flow2.1,829.8025479789001,364.65692587705,1.59,25,LOS=0
I,16,0,2,flow2.2,763.1983057715499,426.30427389105,4.3,25,LOS=0
V,16,0,3,flow2.3,761.60733449385,443.44452190970003,3.2,25,LOS=0
I,16,0,4,flow4.0,670.9750210080999,461.28147204785,4.3,25,LOS=0
I,16,0,5,flow4.1,717.2431555077001,448.54248884685,4.3,25,LOS=0
I,16,0,6,flow5.0,812.9241498669501,377.7643668283,4.3,25,LOS=0
I,16,0,7,flow8.0,809.72942636765,670.48812843,4.3,25,LOS=0
V,16,0,8,flow8.1,758.4035137791,583.71494277155,4.3,25,LOS=0
V,16,0,9,flow8.2,760.0735212714501,559.8522117717,3.2,25,LOS=1
I,17,0,0,flow10.3,801.4195526706001,670.4562004388,4.3,25,LOS=0
V,17,0,1,flow10.4,753.3412686361501,656.04934525595,4.3,25,LOS=0
I,17,0,2,flow11.2,728.43158032365,676.99774347375,3.2,25,LOS=0
I,17,0,3,flow2.2,781.7317785499499,401.9877654266,4.3,25,LOS=0
I,17,0,4,flow2.3,762.78372689915,428.33846821215,3.2,25,LOS=0
I,17,0,5,flow4.1,679.3979496392,460.12068120005,4.3,25,LOS=0
I,17,0,6,flow4.2,725.10374771675,444.28397959545,4.3,25,LOS=0
I,17,0,7,flow5.1,818.28788612685,373.5989919012,4.3,25,LOS=0
V,17,0,8,flow7.1,750.41911436925,650.56251020685,4.3,25,LOS=0
V,17,0,9,flow8.2,757.67371043395,594.14310012375,3.2,25,LOS=0
I,18,0,0,flow10.0,769.4980825297,428.19752122784996,4.3,25,LOS=0
V,18,0,1,flow11.0,761.5958041541,490.85207304544997,1.59,25,LOS=0
V,18,0,2,flow2.1,747.22080822205,649.0222416392,3.2,25,LOS=0
I,18,0,3,flow2.2,680.166871102,670.7803050148,4.3,25,LOS=0
I,18,0,4,flow3.0,671.3265753357,680.7510834587999,4.3,25,LOS=0
I,18,0,5,flow6.0,690.1789187081499,448.64081253250004,4.3,25,LOS=0
I,18,0,6,flow7.0,698.99402994355,449.60134167765,4.3,25,LOS=0
I,18,0,7,flow8.0,765.2211199932999,425.0704053147,1.59,25,LOS=0
I,18,0,8,flow8.1,742.0701473036,427.5892552153,3.2,25,LOS=0
I,18,0,9,flow8.2,724.33929452095,437.1916318226,3.2,25,LOS=0
V,19,0,0,flow11.0,758.7500385666,531.51692773755,1.59,25,LOS=1
I,19,0,1,flow11.1,804.51901212955,392.64678842595004,4.3,25,LOS=0
I,19,0,2,flow2.3,662.50019549085,670.9204819599,1.59,25,LOS=0
I,19,0,3,flow3.2,739.6545969819,680.22826406845,4.3,25,LOS=0
I,19,0,4,flow3.3,788.14065504625,680.3053342738999,4.3,25,LOS=0
I,19,0,5,flow3.5,816.14481806925,680.4129311762999,4.3,25,LOS=0
V,19,0,6,flow5.0,760.6089248799999,676.81618274575,4.3,25,LOS=0
V,19,0,7,flow8.0,763.17260576935,468.32020715914996,1.59,25,LOS=0
I,19,0,8,flow8.1,750.02863986375,423.39839720835,3.2,25,LOS=0
I,19,0,9,flow9.0,761.37031429885,424.63616758185003,4.3,25,LOS=0
I,20,0,0,flow0.0,707.32539741205,670.56481460025,1.59,25,LOS=0
I,20,0,1,flow0.1,665.82410568865,670.8941082613,4.3,25,LOS=0
V,20,0,2,flow10.0,764.4246680565,497.67869114384996,4.3,25,LOS=0
I,20,0,3,flow10.1,825.023391827,376.7234795703,1.59,25,LOS=0
V,20,0,4,flow11.0,755.9045698827,572.17753979575,1.59,25,LOS=1
I,20,0,5,flow3.4,772.85663672415,676.946571975,1.59,25,LOS=0
V,20,0,6,flow4.0,751.06408821575,594.10330412415,1.59,25,LOS=0
V,20,0,7,flow8.0,763.29373264435,513.83862314625,1.59,25,LOS=1
I,20,0,8,flow8.1,764.89681210745,425.83392160285,3.2,25,LOS=0
I,20,0,9,flow9.0,722.9370367258,445.4578044874,4.3,25,LOS=0
I,21,0,0,flow24.0,736.3943842678,670.343899376,4.3,25,LOS=0
V,21,0,1,flow26.0,747.6720328968499,642.57442109035,4.3,25,LOS=0
I,21,0,2,flow27.0,805.04151105655,680.37027032475,3.2,25,LOS=0
I,21,0,3,flow28.0,761.88095389895,676.904401478,4.3,25,LOS=0
I,21,0,4,flow28.2,790.4114447883001,677.0140206243,4.3,25,LOS=0
I,21,0,5,flow32.2,678.6887721372,453.55925292155,3.2,25,LOS=0
I,21,0,6,flow32.3,687.0904717706501,449.06719931429996,4.3,25,LOS=0
I,21,0,7,flow34.0,789.58061229205,404.2476638454,1.59,25,LOS=0
V,21,0,8,flow35.0,764.32299546305,451.88159747960003,4.3,25,LOS=0
I,21,0,9,flow35.1,773.75029698945,418.3458923403,4.3,25,LOS=0
I,22,0,0,flow24.0,774.3657379619999,670.3522549412,4.3,25,LOS=0
I,22,0,1,flow24.2,665.65339871845,670.8954627426499,3.2,25,LOS=0
V,22,0,2,flow26.0,749.8394576554499,611.60278616335,4.3,25,LOS=0
I,22,0,3,flow26.1,722.82855129065,670.441804205,4.3,25,LOS=0
I,22,0,4,flow26.2,683.9815302669,670.7500374489,3.2,25,LOS=0
I,22,0,5,flow28.2,786.8529847583,677.0003483972,4.3,25,LOS=0
I,22,0,6,flow28.3,811.93478589365,677.096717073,4.3,25,LOS=0
I,22,0,7,flow29.1,816.703893329,680.4150792414,4.3,25,LOS=0
I,22,0,8,flow32.4,666.58056795015,451.89876872875004,1.59,25,LOS=0
I,22,0,9,flow33.0,828.4925202501499,374.02942082979996,4.3,25,LOS=0
I,23,0,0,flow24.0,812.3271130182,670.49810919735,4.3,25,LOS=0
I,23,0,1,flow26.2,716.77305154215,670.48985181025,3.2,25,LOS=0
V,23,0,2,flow28.0,746.6748243759,666.0571189227,4.3,25,LOS=0
V,23,0,3,flow28.1,760.62256137165,676.8172042963499,4.3,25,LOS=0
I,23,0,4,flow29.1,816.2266150582,680.4132454546,4.3,25,LOS=0
I,23,0,5,flow30.0,707.71638410595,442.44373350729995,3.2,25,LOS=0
I,23,0,6,flow30.1,674.8194191014,450.7613241491,4.3,25,LOS=0
V,23,0,7,flow31.0,763.0947472750499,469.43277397455,4.3,25,LOS=0
I,23,0,8,flow32.1,744.8490598394001,426.08429856965,4.3,25,LOS=0
I,23,0,9,flow32.3,727.04320277795,431.97704057465,4.3,25,LOS=0
I,24,0,0,flow28.0,745.2393801027,630.07131958355,4.3,25,LOS=0
V,24,0,1,flow28.1,746.4329606951001,664.23894931165,4.3,25,LOS=0
I,24,0,2,flow28.3,793.5121113923001,677.0259339288,4.3,25,LOS=0
I,24,0,3,flow29.0,778.73657592805,676.96916373195,3.2,25,LOS=0
I,24,0,4,flow30.0,720.56298130625,435.48648977225,3.2,25,LOS=0
V,24,0,5,flow31.0,760.7327600108499,503.1846294702,4.3,25,LOS=0
I,24,0,6,flow32.4,702.4240134247,449.0601406372,1.59,25,LOS=0
I,24,0,7,flow32.5,667.6930857943,451.74517602895,3.2,25,LOS=0
V,24,0,8,flow35.0,757.00042754385,556.5181711005,4.3,25,LOS=1
V,24,0,9,flow35.1,762.0668522871999,531.3695121186499,4.3,25,LOS=0
V,25,0,0,flow26.2,749.05593413065,622.79902468075,3.2,25,LOS=0
V,25,0,1,flow28.0,748.3882751392,585.04764493975,4.3,25,LOS=0
I,25,0,2,flow28.1,744.5246033486,640.2913731732,4.3,25,LOS=0
I,25,0,3,flow28.2,761.8809558865,676.9044014855999,4.3,25,LOS=0
I,25,0,4,flow29.1,801.3122912603001,680.3559420086999,4.3,25,LOS=0
I,25,0,5,flow30.1,718.23469977675,436.74740126744996,4.3,25,LOS=0
V,25,0,6,flow32.0,760.7499247732501,502.93935186450005,4.3,25,LOS=0
I,25,0,7,flow32.1,756.0072503005,421.611220356,4.3,25,LOS=0
I,25,0,8,flow32.3,741.36085167315,427.97338359605,4.3,25,LOS=0
I,25,0,9,flow34.3,793.84271918475,400.93779320165,1.59,25,LOS=0
V,26,0,0,flow24.3,755.6496208379001,670.2929289771,3.2,25,LOS=0
I,26,0,1,flow25.0,704.7054194231,670.5856029205,4.3,25,LOS=0
V,26,0,2,flow28.1,747.163129593,602.5650768717501,4.3,25,LOS=0
V,26,0,3,flow28.2,759.8979864143,676.762959761,4.3,25,LOS=0
I,26,0,4,flow29.0,772.05611173615,676.9434962177,3.2,25,LOS=0
I,26,0,5,flow30.0,767.0330932714501,409.1797293242,3.2,25,LOS=0
V,26,0,6,flow31.0,755.88902591325,572.3996569164,4.3,25,LOS=1
I,26,0,7,flow31.2,708.77294460285,445.62179342545,4.3,25,LOS=0
V,26,0,8,flow32.0,761.8056646626001,535.1016211388501,4.3,25,LOS=1
V,26,0,9,flow34.1,760.45627693815,554.3830174389,4.3,25,LOS=1
I,27,0,0,flow25.0,736.40077582865,669.1354885741,4.3,25,LOS=0
V,27,0,1,flow26.0,760.67136679905,456.81912678585,4.3,25,LOS=0
V,27,0,2,flow28.0,754.6921003086,494.9140043593,4.3,25,LOS=0
I,27,0,3,flow28.5,815.6086581809,680.410871156,4.3,25,LOS=0
I,27,0,4,flow30.1,766.0106419915,409.8953239967,4.3,25,LOS=0
I,27,0,5,flow31.1,743.16609532925,426.99573014275,1.59,25,LOS=0
I,27,0,6,flow31.4,670.6877270028,454.6638663261,4.3,25,LOS=0
V,27,0,7,flow32.0,759.5402830848,567.47165028675,4.3,25,LOS=0
I,27,0,8,flow32.5,707.0591157275501,446.54994000155,3.2,25,LOS=0
V,27,0,9,flow34.0,756.3943010165999,612.4245766468,1.59,25,LOS=0
I,28,0,0,flow25.1,735.1307541089,670.00371808875,4.3,25,LOS=0
V,28,0,1,flow26.0,761.8731948704001,439.64548321535,4.3,25,LOS=0
V,28,0,2,flow28.1,753.3081191528,514.7025068497501,4.3,25,LOS=1
I,28,0,3,flow29.1,779.6951441277499,676.972846719,4.3,25,LOS=0
I,28,0,4,flow30.0,832.516262378,358.3635396026,3.2,25,LOS=0
I,28,0,5,flow30.2,748.4384315248001,420.42395598589997,4.3,25,LOS=0
I,28,0,6,flow32.4,746.7244136042,425.06867606455,1.59,25,LOS=0
V,28,0,7,flow34.1,756.32631709625,613.3959986381001,4.3,25,LOS=0
V,28,0,8,flow34.3,764.43676601445,497.505823467,1.59,25,LOS=0
V,28,0,9,flow35.1,754.13441733945,644.71604631175,4.3,25,LOS=0
V,29,0,0,flow28.0,758.6329853151,438.5662626004,4.3,25,LOS=0
V,29,0,1,flow28.1,756.1424163146,474.1770298874,4.3,25,LOS=0
V,29,0,2,flow28.3,746.8098585917,666.7025291564,4.3,25,LOS=0
I,29,0,3,flow29.2,813.96063550885,677.1045007422999,1.59,25,LOS=0
I,29,0,4,flow30.1,809.6221179546999,376.14518164735,4.3,25,LOS=0
V,29,0,5,flow31.0,751.61398946345,633.48822190545,4.3,25,LOS=0
I,29,0,6,flow31.2,746.24547227535,425.32805304255,4.3,25,LOS=0
I,29,0,7,flow31.3,718.2662338016501,440.48057775775,4.3,25,LOS=0
V,29,0,8,flow32.2,763.19679871965,467.9744995529,3.2,25,LOS=0
V,29,0,9,flow34.0,754.26809683765,642.8059004468,1.59,25,LOS=0
V,30,0,0,flow26.0,762.08663499455,436.59550901095,4.3,25,LOS=0
V,30,0,1,flow26.1,761.1929639554501,449.36571155575,4.3,25,LOS=0
V,30,0,2,flow29.1,748.663814055,671.2809764774499,4.3,25,LOS=0
I,30,0,3,flow29.3,816.7999459122,680.4154482923,4.3,25,LOS=0
V,30,0,4,flow31.1,762.3628367475001,479.89148335705,1.59,25,LOS=0
I,30,0,5,flow31.3,731.75394603785,433.17612973985,4.3,25,LOS=0
V,30,0,6,flow32.1,758.2670758038,585.6645045059499,4.3,25,LOS=0
V,30,0,7,flow32.3,757.84991225255,544.3793735856,4.3,25,LOS=0
I,30,0,8,flow34.4,765.6519339148,480.14229374735,4.3,25,LOS=0
V,30,0,9,flow35.0,749.72336506035,660.50449020525,4.3,25,LOS=0
V,31,0,0,flow25.1,749.6185400636,567.45701487985,4.3,25,LOS=0
V,31,0,1,flow26.0,762.08663499455,436.59550901095,4.3,25,LOS=0
V,31,0,2,flow26.2,760.41567105645,460.4729169166,3.2,25,LOS=0
I,31,0,3,flow28.1,758.0092665903001,433.3447923123,4.3,25,LOS=0
I,31,0,4,flow28.5,768.98755472405,676.9317062839,4.3,25,LOS=0
V,31,0,5,flow29.0,754.6195401119501,543.2973152687,3.2,25,LOS=0
V,31,0,6,flow31.1,760.35231631645,508.62101805365,1.59,25,LOS=0
V,31,0,7,flow31.2,763.7616415765001,459.90312051965,4.3,25,LOS=0
I,31,0,8,flow31.4,728.8780786397,434.73359356685,4.3,25,LOS=0
V,31,0,9,flow34.2,755.45833122965,625.7986455375001,3.2,25,LOS=0
V,32,0,0,flow28.2,757.2613336144,458.17847551335,4.3,25,LOS=0
V,32,0,1,flow28.3,750.2187885836,558.8745141114,4.3,25,LOS=0
V,32,0,2,flow28.5,753.7274306253,675.36664985625,4.3,25,LOS=0
I,32,0,3,flow28.7,812.37719924875,677.0984169026999,1.59,25,LOS=0
V,32,0,4,flow31.1,758.5219036787,534.77688425245,1.59,25,LOS=1
I,32,0,5,flow31.5,726.82963652485,435.84295434525,4.3,25,LOS=0
V,32,0,6,flow32.4,760.0161084593,513.42529417445,1.59,25,LOS=0
V,32,0,7,flow34.2,754.33817818135,641.8045083802001,3.2,25,LOS=0
V,32,0,8,flow34.4,762.1113921258,530.73308252625,4.3,25,LOS=1
V,32,0,9,flow35.0,749.72336506035,660.50449020525,4.3,25,LOS=0
V,33,0,0,flow25.1,754.2684454328,500.97152582965,4.3,25,LOS=0
V,33,0,1,flow26.2,760.4214607807501,460.390184067,3.2,25,LOS=0
I,33,0,2,flow28.1,699.81014339905,456.3851741365,4.3,25,LOS=0
V,33,0,3,flow28.2,758.5601171392,439.6081496757,4.3,25,LOS=0
V,33,0,4,flow28.4,747.3254473849,600.2442172166,4.3,25,LOS=0
I,33,0,5,flow28.7,799.7908281837999,677.05005785915,1.59,25,LOS=0
V,33,0,6,flow29.1,753.5857200939499,558.0701907975999,4.3,25,LOS=1
I,33,0,7,flow31.4,757.74880555955,421.73237502375,4.3,25,LOS=0
V,33,0,8,flow35.2,757.874316736,591.27663740105,4.3,25,LOS=0
I,33,0,9,flow39.0,802.4639462069499,680.36036686885,3.2,25,LOS=0
V,34,0,0,flow25.1,756.3820795141,470.7502665964,4.3,25,LOS=0
V,34,0,1,flow26.2,760.4504577796499,459.9758285241,3.2,25,LOS=0
